category,keyword,path,image_url,split
cat,kitten,C:\Users\anmol\Documents\GitHub\fathom\projects\cats vs dogs\images\train\cat\kitten_12.jpg,https://images.ctfassets.net/440y9b545yd9/1JvmpdK1yFMQRVAFpoCBOR/d0eafe6ec0baa484f04248258ab21c90/BabyKitten850.jpg,train
cat,kitten,C:\Users\anmol\Documents\GitHub\fathom\projects\cats vs dogs\images\train\cat\kitten_1.jpg,https://www.petage.com/wp-content/uploads/2019/09/Depositphotos_74974941_xl-2015-e1569443284386-670x627.jpg,train
cat,kitten,C:\Users\anmol\Documents\GitHub\fathom\projects\cats vs dogs\images\train\cat\kitten_18.jpg,https://i.ytimg.com/vi/Ep3jK1bZrB8/maxresdefault.jpg,train
cat,kitten,C:\Users\anmol\Documents\GitHub\fathom\projects\cats vs dogs\images\train\cat\kitten_23.jpg,https://images.squarespace-cdn.com/content/v1/55e7b445e4b04e7d0095c2cd/1556296318516-36C15R1S3A4H1GUP62QL/ke17ZwdGBToddI8pDm48kFyD7pzB8zoMIVY5aiUuFlp7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0jG2lbcDYBOeMi4OFSYem8DMb5PTLoEDdB05UqhYu-xbnSznFxIRsaAU-3g5IaylIg/AdobeStock_170586850+%281%29.jpeg?format=1000w,train
cat,kitten,C:\Users\anmol\Documents\GitHub\fathom\projects\cats vs dogs\images\train\cat\kitten_34.jpg,https://www.petmd.com/sites/default/files/styles/article_image/public/petmd-kitten-development.jpg?itok=TZW_49uD,train
dog,dog,C:\Users\anmol\Documents\GitHub\fathom\projects\cats vs dogs\images\train\dog\dog_3.jpg,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/dog-puppy-on-garden-royalty-free-image-1586966191.jpg?crop=1.00xw:0.669xh;0,0.190xh&resize=1200:*",train
dog,puppy,C:\Users\anmol\Documents\GitHub\fathom\projects\cats vs dogs\images\train\dog\puppy_32.jpg,https://images.theconversation.com/files/377569/original/file-20210107-17-q20ja9.jpg?ixlib=rb-1.1.0&rect=278%2C340%2C4644%2C3098&q=45&auto=format&w=926&fit=clip,train
dog,puppy,C:\Users\anmol\Documents\GitHub\fathom\projects\cats vs dogs\images\train\dog\puppy_30.jpg,https://www.prestigeanimalhospital.com/sites/default/files/puppy-dental-care.jpg,train
dog,puppy,C:\Users\anmol\Documents\GitHub\fathom\projects\cats vs dogs\images\train\dog\puppy_11.jpg,https://static.stacker.com/s3fs-public/styles/properly_sized_image/s3/2020-03/English%20Lab%20Puppy%20%281%29_0.png,train
dog,puppy,C:\Users\anmol\Documents\GitHub\fathom\projects\cats vs dogs\images\train\dog\puppy_7.jpg,https://www.iams.com/images/default-source/article-image/article_puppy-basics-selecting-the-right-food_header.jpg,train
